Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
aldh1,rDock,1.0,1.7,5363,107237,1073,91.225,0.638,1.765,0.504,8.502,0.016,0.012,1.7,,
gba,rDock,1.0,3.07,163,291404,2915,5.006,0.755,3.074,0.51,3.071,0.005,0.002,3.07,,
idh1,rDock,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
adrb2,AutoDock4,1.0,0.0,17,311765,3118,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
aldh1,AutoDock4,1.0,2.11,5363,107237,1073,113.226,0.691,2.241,0.506,10.552,0.026,0.019,2.11,,
gba,AutoDock4,1.0,5.52,163,291404,2915,9.001,0.847,5.534,0.523,5.522,0.011,0.005,5.52,,
idh1,AutoDock4,1.0,0.0,39,358796,3588,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
adrb2,FINDSITE,1.0,11.76,17,311765,3118,1.999,0.922,11.767,0.554,11.761,0.008,0.001,11.76,,
aldh1,FINDSITE,1.0,0.68,5363,107237,1073,36.49,0.401,0.669,0.498,3.401,-0.007,-0.005,0.68,,
esr_ago,FINDSITE,1.0,7.69,13,4391,44,1.002,0.887,7.846,0.534,7.706,0.037,0.031,7.69,,
esr_antago,FINDSITE,1.0,0.0,88,3908,40,0.0,0.0,0.0,0.495,0.0,-0.015,-0.014,0.0,,
fen1,FINDSITE,1.0,1.36,360,351078,3511,4.896,0.576,1.361,0.502,1.36,0.001,0.001,1.36,,
gba,FINDSITE,1.0,1.81,163,291404,2915,2.951,0.644,1.811,0.504,1.811,0.002,0.001,1.81,,
idh1,FINDSITE,1.0,0.0,39,358796,3588,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
kat2a,FINDSITE,1.0,0.52,194,342923,3430,1.009,0.342,0.52,0.498,0.52,-0.001,-0.001,0.52,,
mapk1,FINDSITE,1.0,6.77,308,61875,619,20.86,0.875,6.971,0.529,6.773,0.041,0.039,6.77,,
mtorc1,FINDSITE,1.0,2.62,97,33069,331,2.544,0.725,2.633,0.508,2.622,0.009,0.007,2.62,,
oprk1,FINDSITE,1.0,8.33,24,269499,2695,1.999,0.893,8.335,0.537,8.33,0.007,0.001,8.33,,
pkm2,FINDSITE,1.0,0.77,546,245225,2453,4.205,0.435,0.77,0.499,0.77,-0.001,-0.001,0.77,,
pparg,FINDSITE,1.0,1.23,24,4095,41,0.296,0.552,1.232,0.501,1.232,0.002,0.002,1.23,,
tp53,FINDSITE,1.0,0.0,64,3409,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,
vdr,FINDSITE,1.0,1.98,655,263303,2634,12.974,0.665,1.985,0.505,1.981,0.005,0.004,1.98,,
adrb2,FRAGSITE,1.0,9.56,17,311765,3118,1.625,0.905,9.564,0.543,9.561,0.006,0.001,9.56,,
aldh1,FRAGSITE,1.0,0.75,5363,107237,1073,40.246,0.425,0.74,0.499,3.751,-0.006,-0.004,0.75,,
esr_ago,FRAGSITE,1.0,0.51,13,4391,44,0.066,0.337,0.509,0.498,0.511,-0.003,-0.002,0.51,,
esr_antago,FRAGSITE,1.0,2.61,88,3908,40,2.351,0.73,2.711,0.508,5.877,0.025,0.023,2.61,,
fen1,FRAGSITE,1.0,17.07,360,351078,3511,61.456,0.946,17.356,0.58,17.071,0.052,0.03,17.07,,
gba,FRAGSITE,1.0,2.71,163,291404,2915,4.419,0.731,2.713,0.509,2.711,0.004,0.002,2.71,,
idh1,FRAGSITE,1.0,3.11,39,358796,3588,1.213,0.757,3.111,0.511,3.11,0.002,0.0,3.11,,
kat2a,FRAGSITE,1.0,2.06,194,342923,3430,3.997,0.673,2.061,0.505,2.06,0.003,0.001,2.06,,
mapk1,FRAGSITE,1.0,9.81,308,61875,619,30.227,0.911,10.262,0.544,9.814,0.063,0.059,9.81,,
mtorc1,FRAGSITE,1.0,3.0,97,33069,331,2.913,0.751,3.018,0.51,3.003,0.011,0.009,3.0,,
oprk1,FRAGSITE,1.0,4.17,24,269499,2695,1.001,0.807,4.171,0.516,4.17,0.003,0.001,4.17,,
pkm2,FRAGSITE,1.0,1.69,546,245225,2453,9.23,0.629,1.693,0.503,1.691,0.003,0.003,1.69,,
pparg,FRAGSITE,1.0,5.93,24,4095,41,1.425,0.859,6.108,0.525,5.937,0.038,0.037,5.93,,
tp53,FRAGSITE,1.0,6.96,64,3409,35,4.573,0.887,7.856,0.531,13.067,0.084,0.08,6.96,,
vdr,FRAGSITE,1.0,1.7,655,263303,2634,11.139,0.63,1.703,0.504,1.701,0.004,0.003,1.7,,
adrb2,EViS,1.0,11.77,17,311765,3118,2.001,0.922,11.777,0.554,11.771,0.008,0.001,11.77,,
aldh1,EViS,1.0,0.92,5363,107237,1073,49.369,0.478,0.916,0.5,4.601,-0.002,-0.001,0.92,,
esr_ago,EViS,1.0,15.37,13,4391,44,2.002,0.941,16.055,0.572,15.402,0.079,0.066,15.37,,
esr_antago,EViS,1.0,0.0,88,3908,40,0.0,0.0,0.0,0.495,0.0,-0.015,-0.014,0.0,,
fen1,EViS,1.0,1.9,360,351078,3511,6.84,0.655,1.902,0.505,1.9,0.003,0.002,1.9,,
gba,EViS,1.0,3.01,163,291404,2915,4.908,0.751,3.013,0.51,3.011,0.005,0.002,3.01,,
idh1,EViS,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
kat2a,EViS,1.0,1.55,194,342923,3430,3.008,0.608,1.55,0.503,1.55,0.001,0.001,1.55,,
mapk1,EViS,1.0,2.6,308,61875,619,8.011,0.724,2.621,0.508,2.601,0.011,0.011,2.6,,
mtorc1,EViS,1.0,2.06,97,33069,331,2.0,0.674,2.066,0.505,2.062,0.006,0.005,2.06,,
oprk1,EViS,1.0,0.0,24,269499,2695,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
pkm2,EViS,1.0,4.03,546,245225,2453,22.011,0.802,4.057,0.515,4.031,0.014,0.011,4.03,,
pparg,EViS,1.0,14.64,24,4095,41,3.518,0.941,15.92,0.569,14.658,0.105,0.102,14.64,,
tp53,EViS,1.0,1.25,64,3409,35,0.821,0.557,1.256,0.501,2.347,0.004,0.003,1.25,,
vdr,EViS,1.0,1.02,655,263303,2634,6.683,0.505,1.02,0.5,1.02,0.0,0.0,1.02,,
