Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
esr_antago,GenScore(ft_0.5),1.0,2.91,88,3908,40,2.621,0.753,3.044,0.51,6.553,0.029,0.027,2.91,0.61,0.065
esr_antago,GenScore(ft_0.5),5.0,1.76,88,3908,196,7.768,0.642,1.791,0.519,8.827,0.027,0.024,1.76,0.61,0.065
fen1,GenScore(ft_0.5),0.5,7.05,360,351078,1756,12.694,0.876,7.094,0.515,3.526,0.014,0.01,7.05,0.587,0.067
fen1,GenScore(ft_0.5),1.0,4.06,360,351078,3511,14.617,0.803,4.073,0.515,4.06,0.01,0.006,4.06,0.587,0.067
fen1,GenScore(ft_0.5),5.0,3.79,360,351078,17554,68.22,0.792,3.801,0.57,18.95,0.021,0.006,3.79,0.587,0.067
gba,GenScore(ft_0.5),0.5,2.41,163,291404,1458,1.965,0.707,2.412,0.504,1.206,0.002,0.001,2.41,0.631,0.022
gba,GenScore(ft_0.5),1.0,1.2,163,291404,2915,1.957,0.545,1.2,0.501,1.2,0.0,0.0,1.2,0.631,0.022
gba,GenScore(ft_0.5),5.0,2.17,163,291404,14571,17.686,0.685,2.171,0.529,10.851,0.006,0.001,2.17,0.631,0.022
idh1,GenScore(ft_0.5),0.5,10.25,39,358796,1794,1.999,0.911,10.26,0.523,5.125,0.007,0.002,10.25,0.688,0.08
idh1,GenScore(ft_0.5),1.0,7.69,39,358796,3588,2.999,0.885,7.696,0.533,7.69,0.007,0.001,7.69,0.688,0.08
idh1,GenScore(ft_0.5),5.0,4.1,39,358796,17940,7.995,0.804,4.101,0.578,20.5,0.007,0.001,4.1,0.688,0.08
kat2a,GenScore(ft_0.5),0.5,2.06,194,342923,1715,1.999,0.673,2.061,0.503,1.03,0.002,0.001,2.06,0.351,0.011
kat2a,GenScore(ft_0.5),1.0,1.03,194,342923,3430,1.999,0.507,1.03,0.5,1.03,0.0,0.0,1.03,0.351,0.011
kat2a,GenScore(ft_0.5),5.0,0.41,194,342923,17147,3.977,0.291,0.41,0.485,2.05,-0.003,-0.001,0.41,0.351,0.011
mapk1,GenScore(ft_0.5),0.5,6.49,308,61875,310,10.015,0.87,6.673,0.514,3.252,0.028,0.028,6.49,0.641,0.061
mapk1,GenScore(ft_0.5),1.0,4.87,308,61875,619,15.006,0.832,4.966,0.519,4.872,0.028,0.026,4.87,0.641,0.061
mapk1,GenScore(ft_0.5),5.0,2.6,308,61875,3094,40.043,0.724,2.621,0.54,13.001,0.026,0.015,2.6,0.641,0.061
mtorc1,GenScore(ft_0.5),0.5,0.0,97,33069,166,0.0,0.0,0.0,0.497,0.0,-0.004,-0.004,0.0,0.499,0.002
mtorc1,GenScore(ft_0.5),1.0,0.0,97,33069,331,0.0,0.0,0.0,0.495,0.0,-0.005,-0.005,0.0,0.499,0.002
mtorc1,GenScore(ft_0.5),5.0,0.41,97,33069,1654,1.989,0.29,0.409,0.485,2.051,-0.007,-0.003,0.41,0.499,0.002
oprk1,GenScore(ft_0.5),0.5,8.33,24,269499,1348,1.0,0.893,8.335,0.518,4.167,0.005,0.001,8.33,0.643,0.04
oprk1,GenScore(ft_0.5),1.0,4.17,24,269499,2695,1.001,0.807,4.171,0.516,4.17,0.003,0.001,4.17,0.643,0.04
oprk1,GenScore(ft_0.5),5.0,1.67,24,269499,13475,2.004,0.625,1.67,0.517,8.35,0.001,0.0,1.67,0.643,0.04
