clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,prgr,ptn1,pyrd,reni,urok,xiap,Average
spyRMSD,method5,CHEMPLPFScoreVSTMScore,25.76,21.64,8.85,19.02,13.07,6.17,9.1,16.86,24.56,37.05,16.73,12.06,12.4,16.66,30.01,4.57,0.0,28.4,24.6,29.69,8.0,31.08,9.17,15.41,31.37,27.22,13.52,20.92,36.91,18.99310344827586
spyRMSD,method6,CHEMPLPFScoreVSTMScore,37.82,19.87,29.72,33.19,22.76,19.02,24.57,44.53,44.16,51.16,18.82,29.21,3.23,23.33,42.96,25.13,2.17,33.81,49.19,43.8,26.91,30.5,28.53,30.13,36.72,40.83,16.41,36.3,41.9,30.575172413793094
spyRMSD,method7,CHEMPLPFScoreVSTMScore,37.27,21.29,22.13,34.31,19.39,10.28,20.63,38.48,39.19,45.87,18.82,16.51,11.86,23.33,37.66,17.13,1.08,40.57,49.19,35.63,23.27,28.74,22.41,27.39,38.25,42.65,17.38,27.69,41.9,27.941379310344825
spyRMSD,method1,CHEMPLPFScoreVSCORCH,22.47,29.8,19.6,19.77,10.54,10.28,16.08,25.51,24.56,32.64,25.09,15.24,10.24,10.0,20.01,0.0,10.83,17.58,31.62,31.18,6.55,31.08,17.32,17.81,31.37,24.5,16.41,22.15,25.94,19.86793103448276
spyRMSD,method2,CHEMPLPFScoreVSCORCH,29.05,25.9,11.38,23.87,10.54,6.17,18.51,20.32,23.25,32.64,18.82,10.16,9.7,10.0,24.13,0.0,5.42,21.64,29.87,23.76,10.18,33.43,16.3,15.75,29.84,27.22,19.31,23.38,20.95,19.01689655172414
spyRMSD,method3,CHEMPLPFScoreVSCORCH,16.44,23.42,7.59,16.78,8.01,2.57,15.47,14.7,16.46,18.52,16.73,9.52,12.93,6.67,18.24,1.14,4.33,8.11,19.32,20.04,3.64,26.39,12.23,11.64,23.72,7.26,18.34,14.77,19.95,13.618275862068964
spyRMSD,method4,CHEMPLPFScoreVSCORCH,16.99,30.51,6.95,14.92,8.43,2.57,14.86,16.43,6.01,19.41,25.09,5.71,11.32,10.0,26.48,2.28,7.58,15.55,17.57,22.27,4.36,26.39,18.34,9.59,23.72,10.89,19.31,11.69,17.95,14.592068965517239
spyRMSD,method5,CHEMPLPFScoreVSCORCH,21.38,23.77,6.95,19.77,8.64,4.11,17.29,15.57,21.95,29.11,16.73,9.52,8.08,6.67,17.65,0.0,7.58,16.9,22.84,22.27,8.0,28.74,17.32,11.64,26.01,22.69,16.41,23.38,20.95,16.27310344827586
spyRMSD,method6,CHEMPLPFScoreVSCORCH,24.67,24.48,21.5,22.75,11.38,12.85,21.54,38.91,38.93,44.99,10.46,14.6,0.0,13.33,29.42,4.57,9.75,18.26,36.89,26.72,18.18,12.9,18.34,26.02,29.07,37.2,10.62,32.0,25.94,21.94034482758621
spyRMSD,method7,CHEMPLPFScoreVSCORCH,29.05,20.58,18.34,27.23,14.54,8.23,21.84,38.05,37.63,40.58,10.46,11.43,2.69,10.0,30.6,5.71,7.58,27.72,36.89,20.79,16.73,18.77,21.39,20.89,26.78,39.02,16.41,27.69,23.94,21.777931034482762
spyRMSD,method1,CHEMPLPTMScoreCORCH,15.35,21.64,6.32,5.22,13.91,3.6,4.85,15.13,12.54,36.16,4.18,5.08,10.24,10.0,11.77,5.71,0.0,14.88,3.51,29.69,2.91,12.32,7.13,4.79,29.84,12.7,8.69,19.69,27.93,12.268275862068965
spyRMSD,method2,CHEMPLPTMScoreCORCH,13.16,21.29,3.16,4.48,8.01,2.57,5.46,11.67,5.49,28.23,6.27,3.81,7.01,0.0,8.83,1.14,2.17,11.5,1.76,23.76,0.73,20.53,8.15,5.14,26.01,8.17,9.66,17.84,22.94,9.963448275862065
spyRMSD,method3,CHEMPLPTMScoreCORCH,7.67,14.9,1.9,3.73,4.64,1.54,4.85,7.35,3.14,10.58,14.64,3.81,2.69,0.0,12.36,1.14,1.08,6.76,1.76,19.3,0.0,15.84,6.11,4.45,20.66,0.91,8.69,9.23,16.96,7.127241379310345
spyRMSD,method4,CHEMPLPTMScoreCORCH,9.87,16.67,1.26,3.36,5.48,1.03,9.1,10.38,2.35,11.47,10.46,1.27,3.23,0.0,13.53,2.28,1.08,8.11,3.51,16.33,1.45,14.08,5.09,3.77,20.66,4.54,14.48,11.69,13.96,7.603103448275863
spyRMSD,method5,CHEMPLPTMScoreCORCH,12.61,16.67,1.9,4.85,8.01,2.06,6.07,7.78,3.66,28.23,4.18,2.54,5.93,0.0,7.65,3.43,3.25,8.79,0.0,20.79,0.0,16.42,7.13,5.48,25.25,9.07,9.66,19.69,16.96,8.898620689655171
spyRMSD,method6,CHEMPLPTMScoreCORCH,12.61,12.77,1.26,2.61,9.7,1.54,5.76,17.73,2.35,31.75,2.09,1.27,0.54,0.0,0.59,0.0,9.75,8.79,0.0,21.53,3.64,2.93,4.08,1.71,16.07,6.35,3.86,16.0,10.97,7.181034482758622
spyRMSD,method7,CHEMPLPTMScoreCORCH,9.87,11.71,1.26,3.73,8.43,1.54,7.58,17.73,2.61,22.05,2.09,0.63,3.23,0.0,0.59,2.28,5.42,6.76,0.0,19.3,2.18,4.69,4.08,1.37,18.36,6.35,9.66,16.0,11.97,6.947241379310345
spyRMSD,method1,RFScoreVSTMScoreCORCH,30.7,26.25,15.81,18.27,26.13,11.82,12.44,43.67,36.84,50.28,8.36,28.57,4.31,10.0,31.78,25.13,4.33,25.69,3.51,43.06,13.82,16.42,22.41,18.49,35.96,30.85,17.38,48.61,39.9,24.165172413793105
spyRMSD,method2,RFScoreVSTMScoreCORCH,33.98,21.29,5.69,22.38,21.92,5.65,19.42,36.75,33.18,42.34,12.55,15.24,3.23,13.33,32.95,14.85,5.42,33.13,15.81,31.92,11.64,16.42,19.36,17.46,33.66,37.2,13.52,36.92,34.91,22.142068965517243
spyRMSD,method3,RFScoreVSTMScoreCORCH,16.99,15.96,5.06,16.41,13.07,1.54,15.47,22.92,14.63,19.41,12.55,8.89,4.85,10.0,25.3,2.28,5.42,20.29,12.3,25.24,3.64,19.35,11.21,14.38,25.25,34.48,15.45,18.46,22.94,14.956551724137931
spyRMSD,method4,RFScoreVSTMScoreCORCH,16.44,21.64,2.53,16.04,14.54,2.06,16.08,24.65,9.93,22.05,14.64,3.17,5.93,13.33,34.13,1.14,6.5,18.93,10.54,28.21,7.27,15.25,15.28,9.93,26.01,22.69,19.31,22.77,17.95,15.135862068965515
spyRMSD,method5,RFScoreVSTMScoreCORCH,29.05,19.51,4.43,20.51,19.18,3.6,16.08,35.02,27.44,40.58,10.46,12.7,3.77,13.33,29.42,10.28,5.42,25.69,12.3,31.92,10.18,17.01,17.32,14.72,29.84,34.48,14.48,36.92,26.93,19.743793103448272
spyRMSD,method6,RFScoreVSTMScoreCORCH,25.76,20.22,20.23,23.12,19.6,13.88,20.93,43.67,40.24,52.04,10.46,18.41,0.0,13.33,37.66,9.14,9.75,25.69,35.14,39.34,19.64,13.49,24.45,27.39,32.13,38.11,14.48,36.3,30.92,24.67310344827586
