Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
pkm2,GlideSP†(3/15),5.0,NEF,,0.97,0.212,0.952,546,245225,12262,26,0.488,0.952,0.499,4.762,-0.001,-0.0,0.519,0.009
pkm2,IGN(DUD-E)†(3/15),0.1,NEF,,0.0,0.0,0.0,546,245225,246,0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.528,0.028
pkm2,IGN(DUD-E)†(3/15),0.5,NEF,,1.661,0.407,1.83,546,245225,1227,5,0.647,1.834,0.502,0.916,0.003,0.003,0.528,0.028
pkm2,IGN(DUD-E)†(3/15),1.0,NEF,,0.832,0.204,0.915,546,245225,2453,5,0.478,0.915,0.5,0.916,-0.0,-0.0,0.528,0.028
pkm2,IGN(DUD-E)†(3/15),5.0,NEF,,1.833,0.408,1.831,546,245225,12262,50,0.647,1.835,0.521,9.158,0.009,0.004,0.528,0.028
pkm2,IGN(target-specific)†(3/15),0.1,NEF,,0.0,0.0,0.0,546,245225,246,0,0.0,0.0,0.499,0.0,-0.001,-0.001,0.701,0.044
pkm2,IGN(target-specific)†(3/15),0.5,NEF,,3.322,0.733,3.294,546,245225,1227,9,0.768,3.311,0.506,1.648,0.008,0.007,0.701,0.044
pkm2,IGN(target-specific)†(3/15),1.0,NEF,,2.496,0.571,2.563,546,245225,2453,14,0.72,2.572,0.508,2.564,0.007,0.006,0.701,0.044
pkm2,IGN(target-specific)†(3/15),5.0,NEF,,3.499,0.783,3.516,546,245225,12262,96,0.78,3.536,0.563,17.582,0.027,0.011,0.701,0.044
pkm2,RF-score-vs(target-specific)†(3/15),0.1,NEF,,8.304,2.033,9.129,546,245225,246,5,0.903,9.297,0.504,2.033,0.012,0.011,0.61,0.026
pkm2,RF-score-vs(target-specific)†(3/15),0.5,NEF,,1.661,0.407,1.83,546,245225,1227,5,0.647,1.834,0.502,0.916,0.003,0.003,0.61,0.026
pkm2,RF-score-vs(target-specific)†(3/15),1.0,NEF,,1.664,0.367,1.648,546,245225,2453,9,0.623,1.65,0.503,1.648,0.003,0.002,0.61,0.026
pkm2,RF-score-vs(target-specific)†(3/15),5.0,NEF,,1.833,0.408,1.831,546,245225,12262,50,0.647,1.835,0.521,9.158,0.009,0.004,0.61,0.026
fen1,EHIGN†(7/15)‡,0.1,NEF,,154.57,15.909,155.148,360,351078,352,56,0.995,184.311,0.577,15.909,0.156,0.156,,
fen1,EHIGN†(7/15)‡,0.5,NEF,,75.41,7.745,75.529,360,351078,1756,136,0.988,81.786,0.687,37.778,0.169,0.127,,
fen1,EHIGN†(7/15)‡,1.0,NEF,,52.18,5.355,52.219,360,351078,3511,188,0.982,55.117,0.756,52.222,0.165,0.095,,
fen1,EHIGN†(7/15)‡,5.0,NEF,,14.22,1.458,14.222,360,351078,17554,256,0.935,14.418,0.831,71.111,0.097,0.027,,
kat2a,EHIGN†(7/15)‡,0.1,NEF,,41.47,2.332,41.228,194,342923,343,8,0.977,42.189,0.52,4.124,0.03,0.029,,
kat2a,EHIGN†(7/15)‡,0.5,NEF,,16.67,0.933,16.491,194,342923,1715,16,0.943,16.637,0.539,8.247,0.026,0.016,,
kat2a,EHIGN†(7/15)‡,1.0,NEF,,16.67,0.933,16.491,194,342923,3430,32,0.943,16.637,0.578,16.495,0.037,0.017,,
kat2a,EHIGN†(7/15)‡,5.0,NEF,,4.58,0.257,4.536,194,342923,17147,44,0.82,4.545,0.588,22.68,0.019,0.004,,
pkm2,EHIGN†(7/15)‡,0.1,NEF,,21.78,4.878,21.909,546,245225,246,12,0.958,22.981,0.511,4.878,0.031,0.029,,
pkm2,EHIGN†(7/15)‡,0.5,NEF,,7.33,1.63,7.321,546,245225,1227,20,0.881,7.426,0.516,3.663,0.021,0.02,,
pkm2,EHIGN†(7/15)‡,1.0,NEF,,8.08,1.794,8.056,546,245225,2453,44,0.891,8.185,0.535,8.059,0.034,0.026,,
pkm2,EHIGN†(7/15)‡,5.0,NEF,,4.56,1.011,4.542,546,245225,12262,124,0.821,4.578,0.589,22.711,0.038,0.015,,
aldh1,EHIGN†(7/15)‡,0.1,NEF,,14.99,75.0,14.997,5363,107237,108,81,0.983,56.987,0.507,75.0,0.102,0.028,,
